"SynonymID","SpeciesID","SynSCAMITID","SynonymGenus","SynonymSpecies","SynonymDescriber","DateSynonymAdded","Comments","SpeciesListSortID","chkSynGenRed","chkSynSpRed","chkSynAuth"
203650.00,1064.00,3257.00,"Capitella","capitata","of authors NEP not (Fabricius 1780)",,,153750,0,0,0
203655.00,1068.00,3262.00,"Capitella","filiformis","Claparède 1864",,,154150,0,0,0
203659.00,1071.00,3266.00,"Capitita","ambiseta","Hartman 1947",,,154350,0,0,0
203661.00,1072.00,3268.00,"Mediomastus","capensis","of Fournier & Levings 1982 not Day 1961",,,154400,0,0,0
203665.00,1075.00,3272.00,"Dasybranchus","giganteus","of Moore 1909 not Moore 1906",,,154600,0,0,0
203666.00,1075.00,3273.00,"Notomastus","giganteus","of E. Berkeley 1941 ",,,154600,0,0,0
203668.00,1076.00,3275.00,"Notomastus","hemipodus","of authors NEP not Hartman 1945",,,154650,1,1,1
203670.00,1077.00,3277.00,"Notomastus","tenuis","of authors NEP not Moore 1909",,,154700,0,0,0
203676.00,1081.00,3249.00,"Abarenicola","pusilla","of Berkeley & Berkeley 1952 in part not Quatrefages 1865",,,153300,0,0,1
203681.00,1083.00,3290.00,"Clymenella","rubrocincta","Johnson 1901",,,155350,0,0,0
203686.00,1087.00,3295.00,"Leiochone","columbiana","E. Berkeley 1929",,,155650,0,0,0
203690.00,1090.00,3299.00,"Euclymeninae","sp B","SCAMIT 1987 § in part",,,155900,0,0,0
203691.00,1090.00,3300.00,"Maldanidae","sp 1","Lovell & Phillips 1995 §",,,155900,1,1,1
203694.00,1092.00,3303.00,"Pseudoclymene","longiceps","Moore 1923",,,156050,0,0,1
203696.00,1093.00,3305.00,"Axiothella","catalinia","Hartman 1969",,,156150,0,0,0
203700.00,1096.00,3309.00,"Clymene","gracilis","M. Sars 1861",,,156400,0,0,0
203704.00,1098.00,3313.00,"Lumbriclymene (Notoproctus)","pacifica","Moore 1906",,,156600,0,0,0
203709.00,1101.00,3318.00,"Asychis","disparidentata","Moore 1904",,,156900,0,0,0
203712.00,1102.00,3321.00,"Sabella","lumbricalis","Fabricius 1780",,,157050,0,0,0
203717.00,1106.00,3326.00,"Maldane","tenuis","Théel 1879",,,157300,0,0,0
203724.00,1109.00,3332.00,"Ammotrypane","brevis","Moore 1906",,,157700,0,0,0
203725.00,1109.00,3333.00,"Armandia","bioculata","Hartman 1938",,,157700,0,0,0
203728.00,1111.00,3336.00,"Pectinophelia","dillonensis","Hartman 1938",,,157850,0,0,0
203731.00,1113.00,3339.00,"Ammotrypane","limacina","Rathke 1843",,,158000,0,0,0
203734.00,1115.00,3342.00,"Ammotrypane","aulogaster","Rathke 1843",,,158150,0,0,0
203738.00,1118.00,3346.00,"Nais","pictus","Dujardin 1839",,,158350,0,0,0
203742.00,1121.00,3350.00,"Travisia","carnea","of Berkeley 1966 not Verrill 1873",,,158550,0,0,0
203743.00,1121.00,3351.00,"Travisia","foetida","Hartman 1969",,,158550,0,0,0
203748.00,1124.00,3481.00,"Scalibregma","inflatum","of authors SCB not Rathke 1843",,,161650,0,0,0
203755.00,1126.00,3842.00,"Eteone","fauchaldi","of Hyland & Neff 1988 in part not Kravitz & Jones 1979",,,176050,0,0,0
203759.00,1129.00,3846.00,"Eteone","sp E","Hyland & Neff 1988 §",,,176200,0,0,0
203763.00,1132.00,3850.00,"Eteone","sp A","Harris 1985 §",,,176350,0,0,0
203764.00,1132.00,3851.00,"Eteone","sp C","Hyland & Neff 1988 §",,,176350,0,0,0
203766.00,1133.00,3853.00,"Steggoa","californiensis","Hartman 1936",,,176450,0,0,0
203767.00,1133.00,3854.00,"Eulalia","bilineata","of Blake 1994 not Johnston 1840",,,176450,0,0,0
203771.00,1136.00,3858.00,"Eulalia","longicornuta","Moore 1906",,,176650,0,0,0
203772.00,1136.00,3859.00,"Eumida","sp 2","Hamilton 1976 §",,,176650,0,0,0
203774.00,1137.00,3861.00,"Eteonides","coineaui difficilis","Banse 1963",,,176750,0,0,0
203778.00,1140.00,3865.00,"Sige","californiensis","Chamberlin 1919",,,177050,0,0,0
203780.00,1141.00,3867.00,"Sige","montereyensis","Hartman 1936",,,177100,0,0,0
203781.00,1141.00,3868.00,"Eumida","sp 5","of Hamilton 1976 §",,,177100,0,0,0
203783.00,1142.00,3870.00,"Eumida","sp 3","of Hamilton 1976 §",,,177150,0,0,0
203785.00,1143.00,3872.00,"Eumida","sp 1","Hamilton 1976 §",,,177250,0,0,0
203787.00,1144.00,3874.00,"Eulalia","sp 4","Hamilton 1976 §",,,177300,0,0,0
203792.00,1146.00,3879.00,"Phyllodoce (Genetyllis)","castanea","of Berkeley & Berkeley 1948 not (Marenzeller 1879)",,,177600,1,1,1
203795.00,1147.00,3882.00,"Anaitis","polynoides","Moore 1909",,,177750,0,0,0
203796.00,1147.00,3883.00,"Phyllodoce (Paranaitis)","polynoides","of Berkeley & Berkeley 1948",,,177750,0,0,0
203799.00,1149.00,3886.00,"Phyllodoce (Anaitides)","cuspidata","McCammon & Montagne 1979",,,177900,0,0,0
203801.00,1150.00,3888.00,"Anaitides","groenlandica","of Bergström 1914",,,177950,0,0,0
203802.00,1150.00,3889.00,"Phyllodoce (Anaitides)","groenlandica","of Uschakov 1972",,,177950,0,0,0
203804.00,1151.00,3891.00,"Anaitides","hartmanae","of Kravits & Jones 1979",,,178000,0,0,0
203805.00,1151.00,3892.00,"Phyllodoce (Aponaitides)","hartmanae","of McCammon & Montagne 1979",,,178000,0,0,0
203807.00,1152.00,3894.00,"Anaitides","longipes","of Hartman 1968",,,178050,0,0,0
203808.00,1152.00,3895.00,"Phyllodoce (Anaitides)","papillosa","of McCammon & Montagne 1979 not Uschakov & Wu 1959",,,178050,0,0,0
203809.00,1152.00,3896.00,"Phyllodoce","papillosa","of Hyland & Neff 1988 not Uschakov & Wu 1959",,,178050,0,0,0
203811.00,1153.00,3898.00,"Anaitides","medipapillata","of Hartman 1968",,,178100,0,0,0
203812.00,1153.00,3899.00,"Phyllodoce (Anaitides)","medipapillata","of McCammon & Montagne 1979",,,178100,0,0,0
203814.00,1154.00,3901.00,"Phyllodoce","sp A","Montagne 1985 §",,,178150,0,0,0
203828.00,1162.00,3508.00,"Polynoe","pulchra","Johnson 1897",,,163100,0,0,0
203832.00,1164.00,3512.00,"Lepidasthenia","interrupta","of Hartman 1968 not Marenzeller 1902",,,163350,0,0,0
203834.00,1165.00,3514.00,"Lepidametria","longicirrata","of Berkeley & Berkeley 1948",,,163400,0,0,0
203838.00,1167.00,3518.00,"Lepidonotus","johnsoni","Darboux 1899",,,163600,0,0,0
203841.00,1169.00,3521.00,"Polynoe","spicula","Treadwell 1906",,,163750,0,0,0
203842.00,1169.00,3522.00,"Lepidonotus","caeloris","of authors in part not Moore 1903",,,163750,0,0,0
203843.00,1169.00,3523.00,"Lepidonotus","caelorus","of authors in part not Moore 1903",,,163750,0,0,0
203844.00,1169.00,3524.00,"Lepidonotus","squamatus","of authors in part not Linnaeus 1767",,,163750,0,0,0
203848.00,1171.00,3528.00,"Gattyana","senta","Moore 1902",,,164000,0,0,0
203850.00,1172.00,3530.00,"Harmothoe (Evarne)","fragilis","Moore 1910",,,164100,0,0,0
