SynonymID,SpeciesID,SynSCAMITID,SynonymGenus,SynonymSpecies,SynonymDescriber,DateSynonymAdded,Comments,SpeciesListSortID,chkSynGenRed,chkSynSpRed,chkSynAuth
200615,227,617,Tetrastemma (Oerstedia),dorsale,Coe 1904,,,41050,0,0,0
200620,230,625,Amphiporus,leptacanthus,Coe 1905,,,41320,0,0,0
200627,236,632,Amphiporus,virescens,Verrill 1879,,,42050,0,0,0
200632,238,635,Amphiporus,punctatulus,Coe 1905,,,42300,1,1,1
200635,239,638,Tetrastemma,caecum,Coe 1901,,,42550,0,0,0
200637,240,640,Monostylifera,sp B,SCAMIT 1995,,,42650,1,1,1
200638,240,641,Monostylifera,sp C,SCAMIT 1995,,,42650,1,1,1
200639,240,642,Prosorhochmus,albidus,of authors NEP,,,42650,1,1,1
200642,242,645,Planaria,candida,O. F. Müller 1774,,,42750,0,0,0
200644,243,647,Nemertea,sp A,Paquette 1989,,,42800,0,0,0
200669,256,673,Pedicellina,benedeni,Foettinger 1887,,,45325,0,0,0
200670,256,674,Ascopodaria,gracilis,of Craig 1929 not (M. Sars 1835),,,45325,0,0,0
200671,256,675,Barentsia,gracilis,of Hedgpeth 1964 not (M. Sars 1835),,,45325,0,0,0
200673,257,677,Ascopodaria,discreta,Busk 1886,,,45350,0,0,0
200674,257,678,Ascopodaria,macropus,Ehlers 1890,,,45350,0,0,0
200675,257,679,Ascopodaria,misakiensis,Oka 1890,,,45350,0,0,0
200676,257,680,Barentsia,misakiensis,of Oka 1895,,,45350,0,0,0
200677,257,681,Barentsia,robusta,O'Donoghue 1924,,,45350,0,0,0
200678,257,682,Barentsia,subrigida,Osburn 1953,,,45350,0,0,0
200679,257,683,Barentsia,timida,Verrill 1900,,,45350,0,0,0
200680,257,684,Pedicellina,australis,Jullien 1888,,,45350,0,0,0
200682,258,686,Gonypodaria,parva,O'Donoghue & O'Donoghue 1923,,,45375,0,0,0
200683,258,687,Ascopodaria,gracilis,of Robertson 1900 not (M. Sars 1835),,,45375,0,0,0
200684,258,688,Barentsia,gracilis,of Osburn 1953 not (M. Sars 1835),,,45375,0,0,0
200695,261,699,Ichthyomenia,porosa,Heath 1911,,,46550,0,0,0
200707,264,711,Crystallophrisson,hancocki,Schwabl 1963,,,47540,0,0,0
200708,264,712,Crystallophrisson,inflatum,Schwabl 1963,,,47540,0,0,0
200709,264,713,Crystallophrisson,rectum,Schwabl 1963 in part,,,47540,1,1,1
200710,264,714,Crystallophrisson,riedli,Schwabl 1963 in part,,,47540,1,1,1
200712,265,716,Crystallophrisson,marinelli,Schwabl 1963,,,47560,0,0,0
200714,266,718,Falcidens,macracanthos,of authors NEP non Scheltema 1998,,,47580,1,1,1
200716,267,721,Crystallophrisson,nitidulum var pacificum,Schwabl 1963,,,47600,0,0,0
200720,269,725,Crystallophrisson,hartmanae,Schwabl 1961,,,48225,0,0,0
200721,269,726,Chaetoderma,hartmanae,of authors,,,48225,0,0,0
200723,270,728,Falcidens,sp B,SCAMIT 1985,,,48250,0,0,0
200725,271,732,Crystallophrisson,incrassatum,Schwabl 1963,,,48450,1,1,1
200726,271,733,?Chaetoderma,sp B,of Shrake 1985,,,48450,1,1,1
200731,273,738,Prochaetoderma,californicum,Schwabl 1963,,,48850,1,1,1
200733,274,740,Chevroderma,sp LA1,Cadien 2003 ,,,48900,1,1,1
200739,275,746,Lepidopleurus (Leptochiton),oldroydi,Dall 1919 ex Bartsch MS,,,49450,0,0,1
