"""SortID""",SpeciesID,SCAMIT_ID,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Subgenus,species,Describer,red,bold,non_standard_italic,AuthorRed,SubgenusRed
18850,87,271,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Virgulariidae,,Virgularia,,agassizii,Studer 1894,0,0,0,0,0
18900,88,276,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Virgulariidae,,Virgularia,,californica,Pfeffer 1886,0,0,0,0,0
19150,89,280,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Pennatulidae,,Pennatula,,californica,Kükenthal 1913,0,0,0,0,0
19250,90,283,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Pennatulidae,,Ptilosarcus,,gurneyi,(Gray 1860),0,0,0,0,0
19750,91,295,CNIDARIA,,Anthozoa,Ceriantipatharia,,,Ceriantharia,Spirularia,,,Cerianthidae,,Arachnanthus,,sp A,Ljubenkov & Pasko 1998 §,0,0,1,0,0
19850,92,296,CNIDARIA,,Anthozoa,Ceriantipatharia,,,Ceriantharia,Spirularia,,,Cerianthidae,,Pachycerianthus,,fimbriatus,McMurrich 1910,0,0,0,0,0
20025,93,299,CNIDARIA,,Anthozoa,Ceriantipatharia,,,Ceriantharia,Spirularia,,,uncertain,,Ceriantharia,,sp C,MEC 1986 §,0,0,1,0,0
20050,94,300,CNIDARIA,,Anthozoa,Ceriantipatharia,,,Ceriantharia,Spirularia,,,uncertain,,Ceriantharia,,sp D,MEC 1986 §,0,0,1,0,0
20750,95,306,CNIDARIA,,Anthozoa,Zoantharia,,,Scleractinia,Caryophylliina,,Caryophyllioidea,Caryophylliidae,,Caryophyllia,,alaskensis,Vaughan 1941,0,0,0,0,0
20850,96,307,CNIDARIA,,Anthozoa,Zoantharia,,,Scleractinia,Caryophylliina,,Caryophyllioidea,Caryophylliidae,,Coenocyathus,,bowersi,Vaughan 1906,0,0,0,0,0
20950,97,308,CNIDARIA,,Anthozoa,Zoantharia,,,Scleractinia,Caryophylliina,,Caryophyllioidea,Caryophylliidae,,Desmophyllum,,dianthus,(Esper 1794),0,0,0,0,0
21050,98,311,CNIDARIA,,Anthozoa,Zoantharia,,,Scleractinia,Caryophylliina,,Caryophyllioidea,Caryophylliidae,,Lophelia,,pertusa,(Linnaeus 1758),0,0,0,0,0
21150,99,317,CNIDARIA,,Anthozoa,Zoantharia,,,Scleractinia,Caryophylliina,,Caryophyllioidea,Caryophylliidae,,Paracyathus,,stearnsii,Verrill 1869,0,0,0,0,0
